frame,par1,par2,par3,par4,par5,par6,media
334,131.92,69.85,,63.88,,,88.55
343,67.24,,,,,,67.24
344,68.11,120.28,,52.21,,,80.20
345,72.78,138.54,,65.76,,,92.36
346,77.48,141.00,,63.53,,,94.00
347,63.55,135.79,,72.45,,,90.60
348,131.58,58.12,,73.63,,,87.78
349,138.83,,,,,,138.83
350,145.30,77.59,,68.02,,,96.97
351,145.30,77.59,,68.02,,,96.97
352,145.52,,,,,,145.52
353,65.99,139.96,,80.76,,,95.57
354,130.25,64.61,,69.80,,,88.22
355,111.15,,,,,,111.15
356,120.02,,,,,,120.02
357,149.88,,,,,,149.88
358,149.88,,,,,,149.88
359,73.92,,,,,,73.92
360,65.96,,,,,,65.96
361,80.23,,,,,,80.23
362,74.06,,,,,,74.06
363,69.38,,,,,,69.38
364,73.85,,,,,,73.85
365,76.47,,,,,,76.47
366,82.59,,,,,,82.59
367,95.90,,,,,,95.90
368,58.97,112.33,,60.40,,,77.23
369,111.85,,,,,,111.85
370,108.91,,,,,,108.91
371,103.51,,,,,,103.51
372,113.76,,,,,,113.76
373,100.86,,,,,,100.86
374,90.96,,,,,,90.96
375,90.37,,,,,,90.37
376,87.94,,,,,,87.94
377,94.75,,,,,,94.75
378,93.12,,,,,,93.12
379,109.28,,,,,,109.28
380,83.09,,,,,,83.09
381,94.85,,,,,,94.85
382,46.42,129.19,,96.03,,,90.55
383,127.38,,,,,,127.38
384,124.64,,,,,,124.64
386,122.97,,,,,,122.97
387,121.98,,,,,,121.98
388,125.07,,,,,,125.07
391,149.84,,,,,,149.84
393,138.76,,,,,,138.76
394,137.80,,,,,,137.80
395,134.98,,,,,,134.98
396,135.04,181.32,,47.58,,,121.31
397,188.19,133.29,,55.32,,,125.60
398,137.53,194.82,,57.30,,,129.88
399,58.37,134.28,,192.47,,,128.37
400,187.07,131.94,,55.54,,,124.85
401,183.96,128.68,,55.49,,,122.71
402,125.94,57.39,,183.22,,,122.18
403,123.07,181.33,,59.67,,,121.36
404,116.93,175.27,,58.87,,,117.02
405,121.72,180.04,,58.68,,,120.15
406,58.25,185.49,,127.57,,,123.77
407,185.16,57.31,,128.23,,,123.57
408,128.80,56.07,,184.75,,,123.21
409,186.60,130.75,,56.09,,,124.48
410,184.81,55.47,,129.59,,,123.29
411,56.58,182.60,,126.41,,,121.86
412,124.74,175.30,,51.18,,,117.07
413,128.32,,,,,,128.32
417,138.50,,,,,,138.50
418,120.67,,,,,,120.67
419,121.15,,,,,,121.15
421,146.40,,,,,,146.40
422,154.25,,,,,,154.25
423,153.32,,,,,,153.32
424,158.01,,,,,,158.01
425,164.21,,,,,,164.21
426,165.71,,,,,,165.71
427,164.69,,,,,,164.69
428,164.27,,,,,,164.27
429,162.87,,,,,,162.87
430,168.10,,,,,,168.10
434,156.93,,,,,,156.93
435,155.67,,,,,,155.67
436,151.35,,,,,,151.35
437,153.17,90.43,,73.74,,,105.78
438,154.57,76.13,,91.12,,,107.27
439,160.11,81.82,,90.22,,,110.72
440,162.47,84.35,,92.11,,,112.98
441,82.03,161.77,,92.98,,,112.26
442,156.81,,,,,,156.81
443,155.62,,,,,,155.62
444,156.27,,,,,,156.27
445,177.98,,,,,,177.98
446,182.91,,,,,,182.91
447,182.60,,,,,,182.60
448,194.00,,,,,,194.00
450,194.47,,,,,,194.47
451,195.97,141.61,,64.45,,,134.01
452,188.36,,,,,,188.36
453,185.37,,,,,,185.37
454,185.50,,,,,,185.50
455,180.69,,,,,,180.69
456,176.47,,,,,,176.47
457,176.11,,,,,,176.11
458,176.33,,,,,,176.33
459,178.28,215.28,,48.31,,,147.29
462,48.36,,,,,,48.36
464,175.69,,,,,,175.69
466,171.00,,,,,,171.00
467,61.98,174.26,,124.43,,,120.22
468,175.75,120.68,,68.70,,,121.71
469,182.12,118.89,,76.00,,,125.67
470,186.60,114.28,,83.42,,,128.10
471,192.06,107.94,,93.49,,,131.16
472,179.36,89.11,,103.69,,,124.05
473,164.26,,,,,,164.26
474,159.64,,,,,,159.64
475,166.00,101.23,,87.18,,,118.14
476,167.17,99.27,,86.69,,,117.71
477,161.15,,,,,,161.15
478,150.47,,,,,,150.47
479,149.70,,,,,,149.70
480,139.53,,,,,,139.53
481,145.14,194.35,,49.89,,,129.79
482,145.12,,,,,,145.12
483,141.26,,,,,,141.26
484,140.33,,,,,,140.33
485,133.33,,,,,,133.33
486,143.47,,,,,,143.47
487,140.61,,,,,,140.61
488,139.68,,,,,,139.68
489,137.19,,,,,,137.19
490,139.42,,,,,,139.42
494,178.29,,,,,,178.29
495,178.29,,,,,,178.29
496,178.29,,,,,,178.29
497,193.42,,,,,,193.42
498,192.40,,,,,,192.40
499,168.56,,,,,,168.56
507,199.31,,,,,,199.31
508,206.35,,,,,,206.35
509,207.51,,,,,,207.51
510,216.25,88.51,,146.81,,,150.52
511,219.21,87.38,,149.02,,,151.87
512,212.98,137.09,,88.31,,,146.13
513,213.22,120.98,,101.71,,,145.30
514,231.51,148.10,,94.82,,,158.14
515,84.97,232.07,,160.62,,,159.22
516,227.26,132.36,,100.47,,,153.36
517,236.73,123.93,,119.65,,,160.10
518,238.78,142.45,,107.65,,,162.96
519,243.49,116.43,,139.03,,,166.32
520,240.66,127.81,,120.45,,,162.97
521,237.86,125.62,,126.81,,,163.43
522,239.17,139.61,,116.10,,,164.96
523,239.21,130.15,,121.57,,,163.64
524,245.82,133.07,,123.25,,,167.38
525,247.20,127.61,,135.54,,,170.12
526,248.27,127.61,,131.46,,,169.11
527,257.84,124.21,,142.62,,,174.89
528,258.28,152.92,,114.14,,,175.11
529,259.16,150.00,,119.46,,,176.21
530,260.92,118.97,,152.33,,,177.41
531,256.25,108.86,,155.08,,,173.40
532,250.70,,,,,,250.70
533,237.83,,,,,,237.83
534,102.63,,,,,,102.63
537,78.25,,,,,,78.25
538,222.54,,,,,,222.54
539,224.88,,,,,,224.88
540,230.37,,,,,,230.37
541,224.94,,,,,,224.94
640,104.44,,,,,,104.44
641,100.50,,,,,,100.50
642,103.32,,,,,,103.32
644,97.13,,,,,,97.13
665,194.76,,,,,,194.76
666,193.36,,,,,,193.36
667,195.16,,,,,,195.16
668,190.93,,,,,,190.93
670,192.02,,,,,,192.02
697,191.32,,,,,,191.32
698,195.37,,,,,,195.37
699,196.05,,,,,,196.05
700,190.79,,,,,,190.79
701,93.95,181.58,,218.17,,,164.57
702,178.12,101.83,,221.65,,,167.20
703,103.02,,,,,,103.02
704,104.67,,,,,,104.67
705,106.65,,,,,,106.65
706,105.58,175.21,,232.16,,,170.98
707,229.91,105.10,,173.30,,,169.44
708,235.86,181.05,,103.47,,,173.46
709,237.70,104.31,,181.88,,,174.63
710,240.29,106.87,,183.56,,,176.91
711,238.71,104.68,,180.25,,,174.55
712,177.49,240.83,,106.64,,,174.99
713,177.11,240.59,,105.66,,,174.45
714,178.83,241.35,,106.48,,,175.55
715,179.71,242.42,,105.90,,,176.01
716,179.49,241.39,,106.45,,,175.78
717,179.70,239.88,,105.28,,,174.95
718,179.61,239.67,,104.35,,,174.54
719,182.11,239.68,,104.49,,,175.43
720,180.95,103.19,,239.63,,,174.59
721,182.38,240.14,,103.44,,,175.32
722,183.31,104.07,,239.65,,,175.68
723,183.99,241.34,,103.27,,,176.20
724,242.74,187.88,,103.52,,,178.05
725,103.32,,,,,,103.32
726,101.23,,,,,,101.23
727,102.78,,,,,,102.78
728,166.38,211.27,74.62,103.89,239.17,284.33,179.94
729,204.45,76.22,,280.33,,,187.00
730,102.36,,,,,,102.36
731,192.42,171.85,,100.60,,,154.96
732,168.39,186.30,100.11,99.60,226.73,274.27,175.90
733,101.74,225.82,,273.23,,,200.26
734,180.25,161.02,104.44,102.23,273.31,222.29,173.92
735,106.95,,,,,,106.95
736,113.68,,,,,,113.68
737,126.70,,,,,,126.70
738,133.03,,,,,,133.03
739,130.85,,,,,,130.85
740,122.96,,,,,,122.96
741,117.66,194.31,,281.86,,,197.94
742,110.00,201.91,,291.23,,,201.05
743,110.00,201.91,,291.23,,,201.05
744,110.00,201.91,,291.23,,,201.05
745,204.78,290.43,,107.61,,,200.94
746,290.76,,,,,,290.76
747,92.81,,,,,,92.81
748,86.81,284.60,,207.56,,,192.99
749,207.62,79.55,,279.70,,,188.96
750,220.24,278.46,,68.69,,,189.13
751,220.24,278.46,,68.69,,,189.13
752,204.44,83.88,,281.78,,,190.03
753,195.32,96.79,,285.59,,,192.57
754,186.18,104.84,,285.41,,,192.14
755,288.42,180.86,,110.26,,,193.18
756,175.80,287.46,,113.66,,,192.31
757,171.39,282.90,,113.61,,,189.30
758,286.88,175.22,,114.02,,,192.04
759,285.41,113.30,,175.15,,,191.29
760,179.69,286.05,,108.30,,,191.35
761,111.34,,,,,,111.34
762,177.84,288.54,,112.55,,,192.98
763,112.34,,,,,,112.34
764,114.16,,,,,,114.16
765,112.30,,,,,,112.30
766,111.43,177.89,,286.68,,,192.00
767,111.48,178.66,,286.75,,,192.30
768,113.34,,,,,,113.34
769,117.94,,,,,,117.94
770,115.24,295.98,,183.18,,,198.13
771,297.10,113.98,,184.72,,,198.60
772,115.52,302.43,,187.90,,,201.95
773,122.80,188.36,,309.58,,,206.91
774,129.61,307.50,,179.91,,,205.67
775,132.29,171.10,,300.67,,,201.35
776,172.55,299.26,,128.11,,,199.97
777,300.56,123.53,,179.68,,,201.26
778,300.56,123.53,,179.68,,,201.26
779,299.27,186.62,,116.84,,,200.91
780,184.12,299.31,,119.46,,,200.96
781,119.70,178.23,,292.80,,,196.91
782,120.70,176.58,,291.75,,,196.34
783,119.79,176.53,,291.18,,,195.83
784,291.67,120.39,,176.86,,,196.31
785,296.72,123.75,,179.24,,,199.90
786,184.16,117.22,,293.86,,,198.41
787,109.41,,,,,,109.41
788,98.52,,,,,,98.52
789,98.01,,,,,,98.01
790,96.55,,,,,,96.55
791,94.67,,,,,,94.67
793,95.85,,,,,,95.85
794,264.71,185.22,,96.79,,,182.24
795,265.71,187.47,,94.75,,,182.64
796,266.00,186.38,,96.83,,,183.07
797,265.78,95.39,,187.04,,,182.74
798,93.46,,,,,,93.46
799,86.10,,,,,,86.10
800,93.30,,,,,,93.30
801,96.62,,,,,,96.62
802,89.94,,,,,,89.94
803,95.24,,,,,,95.24
804,94.41,,,,,,94.41
805,89.97,,,,,,89.97
806,93.23,,,,,,93.23
807,101.02,,,,,,101.02
808,111.58,,,,,,111.58
809,114.85,,,,,,114.85
810,108.98,,,,,,108.98
811,105.27,,,,,,105.27
812,105.27,,,,,,105.27
813,260.92,161.91,,102.95,,,175.26
814,259.13,103.59,,159.05,,,173.92
815,103.19,252.65,,153.44,,,169.76
816,251.28,105.04,,149.87,,,168.73
817,247.59,104.19,,146.63,,,166.14
